Countries,Indicators,,2019
,,,Value
South Africa,Current health expenditure by financing schemes,In million constant (2020) US$,"29,550"
Argentina,Current health expenditure by financing schemes,In million constant (2020) US$,"40,953"
Brazil,Current health expenditure by financing schemes,In million constant (2020) US$,"144,892"
Canada,Current health expenditure by financing schemes,In million constant (2020) US$,"190,127"
Chile,Current health expenditure by financing schemes,In million constant (2020) US$,"25,052"
Colombia,Current health expenditure by financing schemes,In million constant (2020) US$,"23,603"
Costa Rica,Current health expenditure by financing schemes,In million constant (2020) US$,"4,678"
Mexico,Current health expenditure by financing schemes,In million constant (2020) US$,"64,473"
Peru,Current health expenditure by financing schemes,In million constant (2020) US$,"12,022"
United States of America,Current health expenditure by financing schemes,In million constant (2020) US$,"3,607,148"
Austria,Current health expenditure by financing schemes,In million constant (2020) US$,"48,661"
Belgium,Current health expenditure by financing schemes,In million constant (2020) US$,"58,980"
Bulgaria,Current health expenditure by financing schemes,In million constant (2020) US$,"5,182"
Croatia,Current health expenditure by financing schemes,In million constant (2020) US$,"4,240"
Cyprus,Current health expenditure by financing schemes,In million constant (2020) US$,"1,802"
Czechia,Current health expenditure by financing schemes,In million constant (2020) US$,"19,806"
Denmark,Current health expenditure by financing schemes,In million constant (2020) US$,"36,800"
Estonia,Current health expenditure by financing schemes,In million constant (2020) US$,"2,155"
Finland,Current health expenditure by financing schemes,In million constant (2020) US$,"25,519"
France,Current health expenditure by financing schemes,In million constant (2020) US$,"316,808"
Germany,Current health expenditure by financing schemes,In million constant (2020) US$,"471,428"
Greece,Current health expenditure by financing schemes,In million constant (2020) US$,"17,025"
Hungary,Current health expenditure by financing schemes,In million constant (2020) US$,"10,332"
Iceland,Current health expenditure by financing schemes,In million constant (2020) US$,"1,984"
Ireland,Current health expenditure by financing schemes,In million constant (2020) US$,"26,846"
Israel,Current health expenditure by financing schemes,In million constant (2020) US$,"31,090"
Italy,Current health expenditure by financing schemes,In million constant (2020) US$,"180,082"
Latvia,Current health expenditure by financing schemes,In million constant (2020) US$,"2,315"
Lithuania,Current health expenditure by financing schemes,In million constant (2020) US$,"3,954"
Luxembourg,Current health expenditure by financing schemes,In million constant (2020) US$,"4,063"
Malta,Current health expenditure by financing schemes,In million constant (2020) US$,"1,501"
Netherlands (Kingdom of the),Current health expenditure by financing schemes,In million constant (2020) US$,"96,329"
Norway,Current health expenditure by financing schemes,In million constant (2020) US$,"38,437"
Poland,Current health expenditure by financing schemes,In million constant (2020) US$,"39,517"
Portugal,Current health expenditure by financing schemes,In million constant (2020) US$,"23,748"
Romania,Current health expenditure by financing schemes,In million constant (2020) US$,"14,878"
Russian Federation,Current health expenditure by financing schemes,In million constant (2020) US$,"86,343"
Slovakia,Current health expenditure by financing schemes,In million constant (2020) US$,"7,640"
Slovenia,Current health expenditure by financing schemes,In million constant (2020) US$,"4,769"
Spain,Current health expenditure by financing schemes,In million constant (2020) US$,"131,335"
Sweden,Current health expenditure by financing schemes,In million constant (2020) US$,"60,573"
Switzerland,Current health expenditure by financing schemes,In million constant (2020) US$,"86,976"
Türkiye,Current health expenditure by financing schemes,In million constant (2020) US$,"30,840"
United Kingdom of Great Britain and Northern Ireland,Current health expenditure by financing schemes,In million constant (2020) US$,"300,055"
India,Current health expenditure by financing schemes,In million constant (2020) US$,"84,212"
Indonesia,Current health expenditure by financing schemes,In million constant (2020) US$,"31,402"
Australia,Current health expenditure by financing schemes,In million constant (2020) US$,"143,405"
China,Current health expenditure by financing schemes,In million constant (2020) US$,"777,739"
Japan,Current health expenditure by financing schemes,In million constant (2020) US$,"567,389"
New Zealand,Current health expenditure by financing schemes,In million constant (2020) US$,"20,602"
Republic of Korea,Current health expenditure by financing schemes,In million constant (2020) US$,"134,487"
